jobID,user,account,jobname,queue,walltime,exit_status,start,end,submit,nnodes,ncpus
jobID8720393,USER5558,ACCOUNT2349,JOB1469957,QUEUE4,2880,COMPLETED,04/02/2018 10:02:36,04/02/2018 10:04:58,04/02/2018 10:02:32,1,16
jobID8720394,USER5558,ACCOUNT2349,JOB1469958,QUEUE4,2880,COMPLETED,04/02/2018 10:05:13,04/02/2018 10:06:40,04/02/2018 10:05:13,1,16
jobID8720395,USER5558,ACCOUNT2349,JOB1469959,QUEUE4,2880,COMPLETED,04/02/2018 10:02:25,04/02/2018 10:08:44,04/02/2018 10:02:25,1,16
jobID8720396,USER5558,ACCOUNT2349,JOB1469960,QUEUE4,2880,COMPLETED,04/02/2018 10:13:44,04/02/2018 10:14:21,04/02/2018 10:13:44,1,16
jobID8720397,USER5558,ACCOUNT2349,JOB1469961,QUEUE4,2880,COMPLETED,04/02/2018 10:13:59,04/02/2018 10:14:24,04/02/2018 10:13:50,1,16
jobID8720398,USER5558,ACCOUNT2349,JOB1469962,QUEUE4,2880,COMPLETED,04/02/2018 10:02:36,04/02/2018 11:18:39,04/02/2018 10:02:29,1,16
jobID8720399,USER5558,ACCOUNT2349,JOB1469963,QUEUE4,2880,COMPLETED,04/02/2018 12:26:22,04/02/2018 12:30:56,04/02/2018 12:26:21,1,16
jobID8720400,USER5558,ACCOUNT2349,JOB1469964,QUEUE4,2880,COMPLETED,04/02/2018 12:26:52,04/02/2018 12:30:58,04/02/2018 12:26:51,1,16
jobID8720401,USER5558,ACCOUNT2349,JOB1469965,QUEUE4,2880,COMPLETED,04/02/2018 12:26:36,04/02/2018 12:30:59,04/02/2018 12:26:36,1,16
jobID8720402,USER5558,ACCOUNT2349,JOB1469966,QUEUE4,2880,COMPLETED,04/02/2018 12:31:16,04/02/2018 12:34:38,04/02/2018 12:31:15,1,16
jobID8720403,USER5558,ACCOUNT2349,JOB1469967,QUEUE4,2880,COMPLETED,04/02/2018 12:31:01,04/02/2018 12:34:40,04/02/2018 12:31:01,1,16
jobID8720404,USER5558,ACCOUNT2349,JOB1469968,QUEUE4,2880,COMPLETED,04/02/2018 12:31:16,04/02/2018 12:34:47,04/02/2018 12:31:15,1,16
jobID8720405,USER5,ACCOUNT124,JOB1163047,QUEUE2,30,TIMEOUT,04/02/2018 15:11:34,04/02/2018 15:41:38,04/02/2018 15:11:33,1,16
jobID8720406,USER5558,ACCOUNT2349,JOB1469969,QUEUE4,2880,COMPLETED,04/02/2018 23:55:38,04/02/2018 23:58:18,04/02/2018 23:55:37,1,16
jobID8720407,USER5558,ACCOUNT2349,JOB1469970,QUEUE4,2880,COMPLETED,04/03/2018 06:00:23,04/03/2018 06:07:44,04/03/2018 06:00:23,1,16
jobID8720408,USER5558,ACCOUNT2349,JOB1469971,QUEUE4,2880,COMPLETED,04/03/2018 06:26:51,04/03/2018 06:37:21,04/03/2018 06:26:50,1,16
jobID8720409,USER5558,ACCOUNT2349,JOB1469972,QUEUE4,2880,COMPLETED,04/03/2018 16:07:59,04/03/2018 16:18:46,04/03/2018 16:07:59,1,16
jobID8720410,USER5558,ACCOUNT2349,JOB1469973,QUEUE2,30,COMPLETED,04/03/2018 16:44:48,04/03/2018 16:54:33,04/03/2018 16:44:47,1,16
jobID8720411,USER5558,ACCOUNT2349,JOB1469974,QUEUE4,2880,COMPLETED,04/03/2018 21:03:04,04/03/2018 21:11:10,04/03/2018 21:03:03,1,16
jobID8720412,USER5558,ACCOUNT2349,JOB1469975,QUEUE4,2880,COMPLETED,04/03/2018 22:20:41,04/04/2018 01:01:56,04/03/2018 22:20:41,1,16
jobID8720413,USER5558,ACCOUNT2349,JOB1469976,QUEUE4,2880,COMPLETED,04/03/2018 23:30:54,04/04/2018 02:59:54,04/03/2018 23:30:53,1,16
jobID8720414,USER5558,ACCOUNT2349,JOB1469977,QUEUE4,2880,COMPLETED,04/04/2018 06:15:18,04/04/2018 06:25:08,04/04/2018 06:15:18,1,16
jobID8720415,USER5558,ACCOUNT2349,JOB1469978,QUEUE4,2880,COMPLETED,04/04/2018 06:03:28,04/04/2018 07:48:28,04/04/2018 06:03:27,1,16
jobID8720416,USER5558,ACCOUNT2349,JOB1469979,QUEUE4,2880,COMPLETED,04/04/2018 19:24:16,04/04/2018 20:12:28,04/04/2018 19:24:15,1,16
jobID8720417,USER49,ACCOUNT124,JOB1081812,QUEUE10,30,CANCELLED,04/04/2018 21:07:29,04/04/2018 21:30:09,04/04/2018 21:07:29,1,16
jobID8720418,USER5558,ACCOUNT2349,JOB1469980,QUEUE4,2880,COMPLETED,04/04/2018 20:48:24,04/04/2018 22:27:18,04/04/2018 20:48:23,1,16
jobID8720419,USER5558,ACCOUNT2349,JOB1469981,QUEUE4,2880,COMPLETED,04/04/2018 20:40:33,04/04/2018 22:51:06,04/04/2018 20:40:33,1,16
jobID8720420,USER5558,ACCOUNT2349,JOB1469982,QUEUE4,2880,COMPLETED,04/04/2018 20:24:51,04/04/2018 23:31:57,04/04/2018 20:24:51,1,16
