jobID,user,account,jobname,queue,walltime,exit_status,start,end,submit,nnodes,ncpus
jobID8719572,USER5558,ACCOUNT2349,JOB1469304,QUEUE4,2880,COMPLETED,03/01/2018 04:36:43,03/01/2018 04:37:25,03/01/2018 04:36:43,1,16
jobID8719573,USER533,ACCOUNT4348,JOB1469305,QUEUE4,2880,COMPLETED,03/01/2018 04:50:48,03/01/2018 05:23:22,03/01/2018 04:50:47,1,16
jobID8719574,USER533,ACCOUNT4348,JOB1469306,QUEUE4,2880,COMPLETED,03/01/2018 04:55:57,03/01/2018 05:23:51,03/01/2018 04:55:57,1,16
jobID8719575,USER533,ACCOUNT4348,JOB1469307,QUEUE4,2880,COMPLETED,03/01/2018 04:55:42,03/01/2018 05:41:35,03/01/2018 04:55:42,1,16
jobID8719576,USER533,ACCOUNT4348,JOB1469308,QUEUE4,2880,COMPLETED,03/01/2018 04:57:35,03/01/2018 05:44:14,03/01/2018 04:57:28,1,16
jobID8719577,USER533,ACCOUNT4348,JOB1469309,QUEUE4,2880,COMPLETED,03/01/2018 05:24:12,03/01/2018 05:59:40,03/01/2018 05:24:11,1,16
jobID8719578,USER533,ACCOUNT4348,JOB1469310,QUEUE4,2880,COMPLETED,03/01/2018 05:03:21,03/01/2018 06:01:20,03/01/2018 05:03:21,1,16
jobID8719579,USER533,ACCOUNT4348,JOB1469311,QUEUE4,2880,COMPLETED,03/01/2018 04:57:45,03/01/2018 06:09:07,03/01/2018 04:57:39,1,16
jobID8719580,USER533,ACCOUNT4348,JOB1469312,QUEUE4,2880,COMPLETED,03/01/2018 06:09:36,03/01/2018 06:09:47,03/01/2018 06:09:35,1,16
jobID8719581,USER533,ACCOUNT4348,JOB1469313,QUEUE4,2880,COMPLETED,03/01/2018 05:02:55,03/01/2018 06:36:20,03/01/2018 05:02:54,1,16
jobID8719582,USER533,ACCOUNT4348,JOB1469312,QUEUE4,2880,COMPLETED,03/01/2018 06:36:25,03/01/2018 06:36:35,03/01/2018 06:26:32,1,16
jobID8719583,USER533,ACCOUNT4348,JOB1469314,QUEUE4,2880,COMPLETED,03/01/2018 05:01:44,03/01/2018 06:46:49,03/01/2018 05:01:43,1,16
jobID8719584,USER533,ACCOUNT4348,JOB1469315,QUEUE4,2880,COMPLETED,03/01/2018 05:24:36,03/01/2018 06:52:05,03/01/2018 05:24:36,1,16
jobID8719585,USER5558,ACCOUNT2349,JOB1469316,QUEUE4,2880,CANCELLED,03/01/2018 03:56:49,03/01/2018 06:54:27,03/01/2018 03:56:48,1,16
jobID8719586,USER533,ACCOUNT4348,JOB1469317,QUEUE4,2880,COMPLETED,03/01/2018 04:59:29,03/01/2018 06:56:46,03/01/2018 04:59:28,1,16
jobID8719587,USER533,ACCOUNT4348,JOB1469318,QUEUE4,2880,COMPLETED,03/01/2018 05:42:30,03/01/2018 07:02:01,03/01/2018 05:42:27,1,16
jobID8719588,USER533,ACCOUNT4348,JOB1469319,QUEUE4,2880,COMPLETED,03/01/2018 06:36:50,03/01/2018 07:06:37,03/01/2018 06:36:49,1,16
jobID8719589,USER533,ACCOUNT4348,JOB1464999,QUEUE4,2880,COMPLETED,03/01/2018 06:00:10,03/01/2018 07:16:14,03/01/2018 05:48:56,1,16
jobID8719590,USER533,ACCOUNT4348,JOB1465035,QUEUE4,2880,COMPLETED,03/01/2018 06:02:17,03/01/2018 07:17:24,03/01/2018 06:02:16,1,16
